a,あ,ア
xn,ん,ン
nn,ん,ン
rya,りゃ,リャ
ryi,りぃ,リィ
ryu,りゅ,リュ
rye,りぇ,リェ
ryo,りょ,リョ
wyi,ゐ,ヰ
wye,ゑ,ヱ
lwa,ゎ,ヮ
